Evaluate inference time cost...
get Get outputs
start to dump
start to json
Node Name                                  Ops                                        Time(us)  Time(%)  Shape              Inputs  Outputs  
tvmgen_default_fused_add_83                tvmgen_default_fused_add_8                 9.236     0.164    (128,)             2       1        
tvmgen_default_fused_negative_49           tvmgen_default_fused_negative_4            9.236     0.164    (512,)             1       1        
tvmgen_default_fused_multiply_111          tvmgen_default_fused_multiply_11           9.235     0.164    (512,)             2       1        
tvmgen_default_fused_sqrt_32               tvmgen_default_fused_sqrt_3                9.232     0.164    (256,)             1       1        
tvmgen_default_fused_add_159               tvmgen_default_fused_add_15                9.23      0.163    (512,)             2       1        
tvmgen_default_fused_multiply_82           tvmgen_default_fused_multiply_8            9.228     0.163    (256,)             2       1        
tvmgen_default_fused_sqrt1                 tvmgen_default_fused_sqrt                  9.226     0.163    (32,)              1       1        
tvmgen_default_fused_sqrt_33               tvmgen_default_fused_sqrt_3                9.225     0.163    (256,)             1       1        
tvmgen_default_fused_add_167               tvmgen_default_fused_add_16                9.225     0.163    (512,)             2       1        
tvmgen_default_fused_negative_45           tvmgen_default_fused_negative_4            9.223     0.163    (512,)             1       1        
tvmgen_default_fused_multiply_1117         tvmgen_default_fused_multiply_11           9.217     0.163    (512,)             2       1        
tvmgen_default_fused_negative_41           tvmgen_default_fused_negative_4            9.213     0.163    (512,)             1       1        
tvmgen_default_fused_multiply_1122         tvmgen_default_fused_multiply_11           9.209     0.163    (512,)             2       1        
tvmgen_default_fused_add_163               tvmgen_default_fused_add_16                9.205     0.163    (512,)             2       1        
tvmgen_default_fused_sqrt_46               tvmgen_default_fused_sqrt_4                9.205     0.163    (512,)             1       1        
tvmgen_default_fused_multiply_22           tvmgen_default_fused_multiply_2            9.204     0.163    (64,)              2       1        
tvmgen_default_fused_multiply_56           tvmgen_default_fused_multiply_5            9.204     0.163    (128,)             2       1        
tvmgen_default_fused_add_122               tvmgen_default_fused_add_12                9.203     0.163    (256,)             2       1        
tvmgen_default_fused_sqrt_44               tvmgen_default_fused_sqrt_4                9.203     0.163    (512,)             1       1        
tvmgen_default_fused_add_41                tvmgen_default_fused_add_4                 9.199     0.163    (64,)              2       1        
tvmgen_default_fused_sqrt_42               tvmgen_default_fused_sqrt_4                9.196     0.163    (512,)             1       1        
